Word,Frequency
print,37611
gap,19433
data,17301
trades,17198
profit,15598
close,14707
tradesdf,14039
date,13234
loss,11161
len,11090
currday,10053
trade,9892
entryprice,9496
exitprice,9338
path,7881
price,7817
not,7506
direction,7288
calculate,7068
metrics,7001
csv,6562
profitloss,6482
open,6221
signals,6190
total,5956
type,5908
high,5905
signal,5880
name,5674
stats,5578
low,5488
trading,5172
shift,5079
run,4975
main,4956
initialinvestment,4901
symbol,4840
file,4723
long,4640
day,4586
mean,4584
gappercent,4556
prevday,4530
tradedirection,4454
short,4396
exit,4337
length,4216
indicators,4173
exchange,4156
abs,3966
success,3910
dataframe,3904
get,3842
totalprofit,3798
results,3771
log,3652
iloc,3649
datafile,3487
append,3484
atr,3458
continue,3372
round,3350
average,3250
max,3183
returns,3175
amount,3174
range,3167
rate,3139
volume,3129
initialcapital,3110
entry,3104
prevclose,3073
win,3062
winningtrades,3039
backtest,3035
conditions,3004
ratio,2920
totaltrades,2854
min,2853
vixdf,2703
losingtrades,2692
all,2587
index,2530
parent,2513
inplace,2508
position,2497
buy,2480
time,2471
vix,2434
openprice,2378
period,2370
condition,2353
display,2328
sell,2281
equitycurve,2175
loaddata,2170
sharpe,2166
calculateindicators,2150
rsi,2147
sample,2137
found,2127
successrate,2095
ticker,2093
ema,2073
empty,2037
group,1986
account,1964
winrate,1948
filepath,1936
required,1914
random,1912
fillna,1906
previous,1904
analysis,1895
row,1886
try,1879
sharperatio,1876
drawdown,1857
avgloss,1855
maxdrawdown,1850
init,1826
mingappercent,1823
winlossratio,1822
based,1821
sum,1815
avgwin,1813
load,1802
error,1786
https,1773
sys,1757
end,1742
when,1737
rolling,1737
parameters,1717
count,1710
drop,1704
new,1700
equity,1700
per,1694
using,1692
gapclosed,1687
add,1678
normal,1672
closeprice,1671
pandas,1669
create,1658
statistics,1648
check,1636
filter,1632
maximum,1621
prevrange,1620
exchanges,1617
exittype,1606
find,1595
com,1593
size,1589
src,1581
final,1570
stop,1545
numpy,1507
runbacktest,1491
resultsdf,1477
details,1469
occurrencecount,1466
vixopen,1465
records,1462
positionsize,1455
outputfile,1441
location,1438
warnings,1438
loc,1433
defval,1429
dirname,1425
performance,1414
csvfiles,1409
www,1405
first,1399
window,1398
losses,1384
copy,1379
datapath,1377
priceprecision,1372
last,1331
filename,1317
except,1309
valid,1305
down,1301
assets,1296
sortvalues,1294
two,1289
fmz,1287
minimum,1279
sma,1271
resetindex,1268
step,1262
order,1253
values,1226
target,1222
excessreturns,1222
gains,1220
bbwidth,1218
start,1214
math,1213
are,1213
createsampledata,1212
macd,1209
initial,1202
minamount,1186
vixfile,1176
implementation,1167
days,1147
trend,1146
readcsv,1138
maxloss,1135
number,1130
ret,1122
orders,1118
closed,1118
roi,1118
calculateprofitloss,1112
specific,1108
mindf,1090
std,1076
str,1067
factor,1064
red,1060
firstsignal,1044
replace,1043
exists,1037
generate,1036
minval,1034
best,1030
sleep,1028
strategies,1018
balance,1015
successcount,1014
while,990
javascript,979
only,977
calculategap,974
rows,957
amountprecision,956
gaps,949
mainfile,944
example,943
obj,942
resultsdfsorted,929
below,928
dates,925
isgapvalid,925
besti,922
minute,921
each,919
stoplosspercent,918
printresults,918
periodsperyear,917
runstrategy,916
rollingmax,915
columns,914
basic,911
investment,910
loaddatawithfallback,909
dataloaded,909
stocks,908
bestj,907
optimization,905
profittargetpercent,904
exception,902
abspath,901
filtercondition,898
getfilterconditions,889
largest,886
prevdate,883
prices,882
currency,880
candle,875
maxgappercent,874
calculatestatistics,874
currentdate,872
show,870
top,866
break,862
parsedates,859
maxwin,858
shape,855
text,854
optimized,854
moving,853
pos,853
warning,840
gapabs,829
calculations,828
tradesfinal,826
users,825
traceback,825
calculates,823
finalamount,820
inline,810
source,803
use,802
exittypes,802
gain,793
mnt,793
claude,788
bestn,788
danie,787
onedrive,787
desktop,787
brdrs,784
lowprice,783
after,775
current,766
chart,764
both,760
adjust,755
checks,753
bestt,751
info,750
minoccurrencecount,746
tostring,736
standard,735
numberofshares,734
tocsv,732
getaccount,727
basestrategy,727
ignore,722
utils,719
save,718
can,713
capital,707
bar,701
combined,699
push,697
your,696
cpci,689
result,686
internaltype,685
usdt,682
lower,675
green,669
curve,666
threshold,662
symbols,660
super,654
highprice,653
enter,652
daydata,651
instead,643
datetime,642
isna,638
met,635
loading,634
json,630
table,628
calculatesharperatio,628
positions,626
spy,622
calculatemaxdrawdown,620
gapandgo,619
setoption,618
riskfreerate,615
calculateperformancemetrics,613
fade,610
calculatereturns,610
loaded,609
dailyreturn,608
line,607
possiblepaths,606
generatesignals,606
initaccount,605
frequency,600
gappercentage,600
directory,595
nrunning,592
standalone,585
market,580
version,577
running,575
filterwarnings,572
baseminsize,569
baseincrement,569
quoteincrement,569
bollinger,564
arr,562
address,557
depth,556
calculatesignals,555
conditionmet,553
performancemetrics,552
setdirection,550
getsummarymetrics,548
saved,546
curropen,546
determinetradedirection,540
column,539
cross,536
currentfile,536
projectroot,536
status,534
usage,530
api,525
options,524
dayofweek,523
between,521
mafast,514
checkgapclosure,511
totaldays,510
asset,509
bands,509
calculatedayrange,509
loads,508
atrratio,508
orderid,507
parsefloat,506
into,502
generated,501
above,499
functions,499
mintradesize,499
items,498
plotshape,494
maslow,493
combines,492
endswith,492
pair,483
bbsqueeze,483
obv,482
possible,481
state,480
requirement,478
combine,476
listdir,476
upper,475
maxgaindate,475
transp,474
occurs,474
adx,472
zero,471
bblower,470
startswith,468
necessary,466
atrtstep,466
maxlossdate,465
getticker,464
you,463
nvalues,463
simple,462
currentday,462
wma,456
bbupper,456
ensure,456
confirm,455
errors,455
momentum,453
now,453
optimize,453
formatted,450
tvalues,449
summary,446
continuation,445
change,444
left,443
valuecounts,443
set,441
pool,441
tradesfiltered,441
category,440
stoploss,437
key,437
where,435
asks,434
calculateatr,434
python,432
achieved,428
highlowrange,427
bids,424
multiple,424
format,423
cumsum,423
expecting,422
firstcandle,422
bullish,420
interval,419
dropna,419
arange,419
par,413
printexc,410
atrnmin,409
atrnmax,409
crossover,408
second,408
lbr,407
bbmiddle,407
nperformance,406
determine,405
nexit,404
gapandgoutils,404
determinegapandgodirection,404
calculategapandgoexit,404
level,403
